architecture,decision_type,metric,value
Hybrid,Overall,energy_cost_RMSE,1.4777
Hybrid,Overall,environmental_MAE,1.0238
Hybrid,Overall,environmental_RMSE,1.6745
Hybrid,Overall,comfort_MAE,0.3226
Hybrid,Overall,comfort_RMSE,1.4366
Hybrid,Overall,practicality_MAE,0.4332
Hybrid,Overall,practicality_RMSE,1.4592
Hybrid,Overall,overall_MAE,0.6854
Hybrid,Overall,overall_RMSE,1.515
Hybrid,Overall,kendall_tau,0.8
Hybrid,Overall,spearman_rho,0.82
Hybrid,Overall,top1_accuracy,0.83
Hybrid,Overall,top2_accuracy,0.97
Hybrid,Overall,n_scenarios_evaluated,100
Hybrid,HVAC,energy_cost_MAE,1.1858
Hybrid,HVAC,energy_cost_RMSE,1.7268
Hybrid,HVAC,environmental_MAE,1.3083
Hybrid,HVAC,environmental_RMSE,1.9557
Hybrid,HVAC,comfort_MAE,0
Hybrid,HVAC,comfort_RMSE,0
Hybrid,HVAC,practicality_MAE,0
Hybrid,HVAC,practicality_RMSE,0
Hybrid,HVAC,overall_MAE,0.6235
Hybrid,HVAC,overall_RMSE,1.3045
Hybrid,HVAC,kendall_tau,0.9
Hybrid,HVAC,spearman_rho,0.9167
Hybrid,HVAC,top1_accuracy,0.9167
Hybrid,HVAC,top2_accuracy,1
Hybrid,HVAC,n_scenarios_evaluated,60
Hybrid,Appliance,energy_cost_MAE,0.7395
Hybrid,Appliance,energy_cost_RMSE,1.1331
Hybrid,Appliance,environmental_MAE,0.7924
Hybrid,Appliance,environmental_RMSE,1.3686
Hybrid,Appliance,comfort_MAE,1.2559
Hybrid,Appliance,comfort_RMSE,2.8679
Hybrid,Appliance,practicality_MAE,1.0913
Hybrid,Appliance,practicality_RMSE,2.5004
Hybrid,Appliance,overall_MAE,0.9698
Hybrid,Appliance,overall_RMSE,2.0996
Hybrid,Appliance,kendall_tau,0.68
Hybrid,Appliance,spearman_rho,0.7
Hybrid,Appliance,top1_accuracy,0.72
Hybrid,Appliance,top2_accuracy,0.92
Hybrid,Appliance,n_scenarios_evaluated,25
Hybrid,Shower,energy_cost_MAE,0.4393
Hybrid,Shower,energy_cost_RMSE,0.7005
Hybrid,Shower,environmental_MAE,0.2711
Hybrid,Shower,environmental_RMSE,0.52
Hybrid,Shower,comfort_MAE,0.0573
Hybrid,Shower,comfort_RMSE,0.2259
Hybrid,Shower,practicality_MAE,1.0693
Hybrid,Shower,practicality_RMSE,1.943
Hybrid,Shower,overall_MAE,0.4593
Hybrid,Shower,overall_RMSE,1.0709
Hybrid,Shower,kendall_tau,0.6
Hybrid,Shower,spearman_rho,0.6333
Hybrid,Shower,top1_accuracy,0.6667
Hybrid,Shower,top2_accuracy,0.9333
Hybrid,Shower,n_scenarios_evaluated,15
